family,scope,sample,video,size,layer,head,frame,grid_shape,map_id,entropy_mean,entropy_std,row_argmax_unique_fraction,col_mass_gini,top1_col_mass_fraction,top2_col_mass_fraction,top4_col_mass_fraction,sink2_cols,sink4_cols,local_radius1_mass,local_radius2_mass,top1_per_row_mass_mean,top2_per_row_mass_mean,top4_per_row_mass_mean,effective_rank,effective_rank_fraction,sink2_matrix_error,local1_matrix_error,row_top4_matrix_error,union_sink_local_top4_matrix_error,drop_sink2_matrix_error,drop_local1_matrix_error,drop_row_top4_matrix_error,drop_union_sink_local_top4_matrix_error,sink2_output_error,local1_output_error,row_top4_output_error,union_sink_local_top4_output_error,drop_sink2_output_error,drop_local1_output_error,drop_row_top4_output_error,drop_union_sink_local_top4_output_error,sink2_raw_component_norm_ratio,local1_raw_component_norm_ratio,row_top4_raw_component_norm_ratio,union_raw_component_norm_ratio,base_output_norm,value_norm,sink2_random_v_output_error,local1_random_v_output_error,row_top4_random_v_output_error,union_random_v_output_error,sink2_permuted_v_output_error,local1_permuted_v_output_error,row_top4_permuted_v_output_error,union_permuted_v_output_error,sink2_orthogonalized_v_output_error,local1_orthogonalized_v_output_error,row_top4_orthogonalized_v_output_error,union_orthogonalized_v_output_error
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,0,0,8x8,qwen:v0:f0:l0:h0,3.606959819793701,0.1849861741065979,0.03125,0.4289717674255371,0.20386362075805664,0.24303466081619263,0.3081643283367157,"2,35","2,35,27,18",0.15136270225048065,0.40704983472824097,0.20393560826778412,0.2524762451648712,0.3232545256614685,5.145377159118652,0.08039651811122894,2.6516497135162354,1.7325199842453003,1.873556137084961,1.2654496431350708,0.8887009024620056,0.45791271328926086,0.9336135983467102,0.967247486114502,1.6036767959594727,1.9289988279342651,1.4929287433624268,1.039200782775879,0.5187469124794006,0.38837119936943054,0.7231209874153137,0.7791959643363953,0.45246922969818115,0.3763998746871948,0.6405842304229736,0.671654224395752,1.5787070989608765,6.8774094581604,2.7176122665405273,1.6906447410583496,1.978722095489502,1.3283421993255615,1.4705755710601807,1.3568148612976074,0.9873571395874023,0.712527871131897,2.6516494750976562,1.7325201034545898,1.8735562562942505,1.26544988155365
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,1,0,8x8,qwen:v0:f0:l0:h1,3.7386257648468018,0.08841075748205185,0.046875,0.4385812282562256,0.08602549880743027,0.1591094583272934,0.2764836549758911,"0,8","0,8,13,9",0.14480789005756378,0.38795408606529236,0.09157075732946396,0.16671481728553772,0.28376448154449463,5.4689860343933105,0.08545290678739548,3.306898593902588,2.1133298873901367,2.048285484313965,1.4059584140777588,0.6310423612594604,0.43337300419807434,0.8186630606651306,0.9002806544303894,1.6944612264633179,0.963362455368042,1.419801950454712,0.9307342171669006,0.3198285400867462,0.19116899371147156,0.5595723986625671,0.6062766313552856,0.3832414150238037,0.2474168986082077,0.6244809627532959,0.684554934501648,4.098544597625732,7.239126682281494,2.9977781772613525,1.8904222249984741,2.0097708702087402,1.366784930229187,1.973238468170166,0.7513414621353149,0.8462890386581421,0.5713548064231873,3.3069000244140625,2.1133294105529785,2.048285484313965,1.4059584140777588
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,2,0,8x8,qwen:v0:f0:l0:h2,3.440530300140381,0.6043621301651001,0.328125,0.32335364818573,0.09921968728303909,0.13206176459789276,0.18724220991134644,"2,23","2,23,24,40",0.25726523995399475,0.5193595886230469,0.16828888654708862,0.24762296676635742,0.34226128458976746,22.97691535949707,0.3590143024921417,2.769169569015503,1.5294711589813232,1.48189377784729,0.9390313029289246,0.47828608751296997,0.8754079341888428,0.9496254920959473,0.9963274002075195,1.1516499519348145,0.4081381559371948,0.48722392320632935,0.3036617636680603,0.15133897960186005,0.3246917724609375,0.7815786600112915,0.7902293801307678,0.15083445608615875,0.5800407528877258,0.8124390840530396,0.8336239457130432,5.27756929397583,7.1211628913879395,2.851194381713867,1.5444368124008179,1.4822640419006348,0.9372594952583313,2.499814033508301,0.924466609954834,1.2051080465316772,0.7158632874488831,2.769169569015503,1.529470682144165,1.48189377784729,0.9390310645103455
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,3,0,8x8,qwen:v0:f0:l0:h3,3.532235622406006,0.6288520097732544,0.15625,0.41483378410339355,0.10858608782291412,0.18771612644195557,0.2674212157726288,"15,12","15,12,51,59",0.1661617010831833,0.42972856760025024,0.1655016541481018,0.2308688908815384,0.31832098960876465,10.016959190368652,0.1565149873495102,2.5030479431152344,1.5881614685058594,1.455916404724121,0.9345067143440247,0.8652517199516296,0.5182140469551086,0.9379409551620483,0.9774460196495056,1.4389992952346802,0.8883764147758484,1.0109338760375977,0.6614711284637451,0.8000724911689758,0.42659690976142883,0.8780402541160583,0.8977699279785156,0.8166883587837219,0.43121337890625,0.8939352631568909,0.9210185408592224,18.396318435668945,20.812788009643555,2.4280436038970947,1.5341806411743164,1.3768874406814575,0.862872838973999,1.1271854639053345,1.3267191648483276,0.8211753368377686,0.5919527411460876,2.503047227859497,1.5881609916687012,1.455916404724121,0.9345066547393799
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,0,1,8x8,qwen:v0:f1:l0:h0,3.807074785232544,0.22458381950855255,0.046875,0.32633423805236816,0.1269998550415039,0.15647782385349274,0.2087574154138565,"2,26","2,26,36,5",0.15209151804447174,0.4116811752319336,0.13247482478618622,0.17480601370334625,0.24300727248191833,6.966582775115967,0.10885285586118698,3.6648170948028564,2.0087969303131104,2.4282429218292236,1.4973368644714355,0.719176173210144,0.5230544209480286,0.8461064100265503,0.9063438177108765,1.0857685804367065,0.8962728977203369,0.8637744784355164,0.5647462606430054,0.2130267173051834,0.24295032024383545,0.3950718343257904,0.42036935687065125,0.24976854026317596,0.31040921807289124,0.4502924084663391,0.5136147141456604,2.2295849323272705,6.5236358642578125,3.894185781478882,2.2051732540130615,2.584660768508911,1.613430142402649,1.1511684656143188,0.8707715272903442,0.8140733242034912,0.5591294169425964,3.664815902709961,2.0087971687316895,2.428241729736328,1.4973368644714355
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,1,1,8x8,qwen:v0:f1:l0:h1,3.509443521499634,0.15958815813064575,0.015625,0.559624433517456,0.13961578905582428,0.2160882204771042,0.3489904999732971,"0,13","0,13,1,8",0.14539462327957153,0.39265409111976624,0.13961578905582428,0.2245265245437622,0.3528541922569275,5.023878574371338,0.07849810272455215,2.680375337600708,2.0546936988830566,1.6229026317596436,1.175641417503357,0.757616400718689,0.45041927695274353,0.9024611711502075,0.9642263054847717,1.2067383527755737,0.9205741882324219,1.0994517803192139,0.7681682109832764,0.33234843611717224,0.18988393247127533,0.5932856202125549,0.6311782598495483,0.4582960307598114,0.265424519777298,0.7013596892356873,0.7516470551490784,4.429349422454834,7.092852592468262,2.8724563121795654,2.1993680000305176,1.7902917861938477,1.2845242023468018,2.050849676132202,0.9476803541183472,0.9799121618270874,0.7067711353302002,2.680375576019287,2.0546934604644775,1.622902512550354,1.1756417751312256
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,2,1,8x8,qwen:v0:f1:l0:h2,3.5751047134399414,0.44420140981674194,0.21875,0.3258857727050781,0.1302548348903656,0.16146022081375122,0.2172866314649582,"2,36","2,36,26,37",0.23824432492256165,0.4971044659614563,0.16057883203029633,0.23254510760307312,0.3171635866165161,21.16634178161621,0.3307240903377533,2.960782766342163,1.649917483329773,1.7356570959091187,1.1138265132904053,0.6420517563819885,0.7642799019813538,0.9233778715133667,0.9746209979057312,1.1169224977493286,0.40506604313850403,0.5446256399154663,0.35005640983581543,0.19152627885341644,0.18803560733795166,0.7141113877296448,0.7141157984733582,0.21505200862884521,0.4522706866264343,0.6825790405273438,0.7190396785736084,5.361492156982422,7.174995422363281,2.8895487785339355,1.678184986114502,1.7356090545654297,1.1043933629989624,0.8708359599113464,0.681384801864624,0.5470709800720215,0.36676710844039917,2.9607837200164795,1.6499176025390625,1.7356575727462769,1.1138266324996948
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,0,3,1,8x8,qwen:v0:f1:l0:h3,3.440070867538452,0.6326972842216492,0.125,0.4397246837615967,0.11280747503042221,0.18675757944583893,0.32598698139190674,"51,15","51,15,12,59",0.1400429755449295,0.41269490122795105,0.1746232807636261,0.265013724565506,0.36796143651008606,9.869288444519043,0.15420763194561005,2.246758460998535,1.6046663522720337,1.2613635063171387,0.8601512908935547,0.5546279549598694,0.46617522835731506,0.9594012498855591,0.9931157827377319,1.3289929628372192,0.8885794878005981,0.9204137921333313,0.6327308416366577,0.3063502013683319,0.39594465494155884,0.8832437992095947,0.9001884460449219,0.39994531869888306,0.3982895016670227,0.9032514691352844,0.9235384464263916,19.823183059692383,21.1850528717041,2.2492637634277344,1.7410794496536255,1.2868027687072754,0.8742106556892395,2.0209667682647705,1.6875804662704468,1.5804290771484375,1.0642694234848022,2.246757745742798,1.6046658754348755,1.26136314868927,0.8601511120796204
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,8,0,0,8x8,qwen:v0:f0:l8:h0,3.266143798828125,0.3681914806365967,0.640625,0.27956438064575195,0.07054447382688522,0.11725706607103348,0.17598016560077667,"15,45","15,45,51,61",0.31245172023773193,0.5746146440505981,0.1795969158411026,0.2858971059322357,0.4208966791629791,37.47559356689453,0.585556149482727,2.4887640476226807,1.5746458768844604,1.223173975944519,0.7948921322822571,0.46271222829818726,0.8178674578666687,0.9691910743713379,1.0370664596557617,1.672690749168396,0.9993817210197449,0.779254138469696,0.533628523349762,0.28770625591278076,0.4817084074020386,0.6290461421012878,0.6956722736358643,0.21003897488117218,0.5409945249557495,0.6890643239021301,0.7406535744667053,13.632155418395996,31.10812759399414,2.137871742248535,1.5469645261764526,1.1788182258605957,0.7611436247825623,1.7574810981750488,0.9528365731239319,0.7519806027412415,0.4857045114040375,2.488764524459839,1.5746458768844604,1.223173975944519,0.7948921322822571
qwen3vl_visual,per_temporal_slice_spatial_attention,0,/home/wangmeiqi/.cache/huggingface/videomme/data/fFYNmVb3NCQ.mp4,128,8,1,0,8x8,qwen:v0:f0:l8:h1,1.4601207971572876,0.44736480712890625,0.75,0.37886524200439453,0.15350382030010223,0.22138601541519165,0.268596887588501,"15,45","15,45,53,5",0.19575729966163635,0.8104302287101746,0.5687060356140137,0.7189241647720337,0.8669701814651489,47.414302825927734,0.7408484816551208,1.354122281074524,1.3949449062347412,0.1879071444272995,0.11786839365959167,0.5903608798980713,0.4471698999404907,1.157208800315857,1.2082797288894653,1.0995254516601562,1.1603891849517822,0.16356568038463593,0.10332606732845306,0.430939644575119,0.3383095860481262,0.9477213025093079,0.9825364947319031,0.25745463371276855,0.3422830402851105,0.9593663811683655,0.9704409837722778,19.370990753173828,29.268728256225586,1.3582863807678223,1.4138609170913696,0.19526755809783936,0.12280143797397614,1.2413148880004883,1.2346103191375732,0.15462897717952728,0.09808707982301712,1.354122519493103,1.3949451446533203,0.1879071742296219,0.11786840856075287
