split,sample_id,layer,sampling_step,branch,mask,head,rank,query_samples,baseline_sparse_output_relative_l2,calibration_self_oracle_rank_energy,heldout_self_oracle_rank_energy,frozen_calibration_basis_energy,subspace_overlap,heldout_self_oracle_corrected_output_relative_l2,coefficient_oracle_corrected_output_relative_l2,coefficient_oracle,ridge_feature,ridge_lambda,ridge_corrected_output_relative_l2
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,2,8,128,0.483147531747818,0.968202531337738,0.9678143858909607,0.9389804198466012,0.6468147039413452,0.0866784080862999,0.11934802681207657,True,concat,1e-05,0.1319262534379959
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,2,16,128,0.4816038906574249,0.9900137782096863,0.9900137782096863,0.990013949138908,0.9999999403953552,0.048126887530088425,0.048126887530088425,True,concat,1e-05,0.048126887530088425
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,2,16,128,0.483147531747818,0.9900137782096863,0.9907953143119812,0.9722525624187602,0.7552157640457153,0.0463540144264698,0.08048070967197418,True,concat,1e-05,0.10388530045747757
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,2,16,128,0.483147531747818,0.9900137782096863,0.9907953143119812,0.9722525624187602,0.7552157640457153,0.0463540144264698,0.08048070967197418,True,concat,1e-05,0.10388530045747757
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,3,8,128,0.6290444135665894,0.9761142730712891,0.9761142730712891,0.9761135572006496,1.000000238418579,0.09721878170967102,0.09721878170967102,True,concat,1e-05,0.09721877425909042
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,3,8,128,0.6236136555671692,0.9761142730712891,0.97685706615448,0.9604393682740003,0.6849146485328674,0.094868965446949,0.12403460592031479,True,concat,1e-05,0.157596156001091
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,3,8,128,0.6236136555671692,0.9761142730712891,0.97685706615448,0.9604393682740003,0.6849146485328674,0.094868965446949,0.12403460592031479,True,concat,1e-05,0.157596156001091
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,3,16,128,0.6290444135665894,0.9921157360076904,0.9921157360076904,0.9921149198041613,1.0000001192092896,0.05585506930947304,0.05585506930947304,True,concat,1e-05,0.05585508421063423
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,3,16,128,0.6236136555671692,0.9921157360076904,0.9924560189247131,0.9765701203457912,0.7007738351821899,0.05416426062583923,0.09545408189296722,True,concat,1e-05,0.1378498673439026
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,3,16,128,0.6236136555671692,0.9921157360076904,0.9924560189247131,0.9765701203457912,0.7007738351821899,0.05416426062583923,0.09545408189296722,True,concat,1e-05,0.1378498673439026
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,4,8,128,0.09527552127838135,0.9012866616249084,0.9012866616249084,0.9012867871605793,0.9999997019767761,0.029934290796518326,0.029934290796518326,True,concat,1e-05,0.02993430197238922
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,4,8,128,0.09309304505586624,0.9012866616249084,0.8932108283042908,0.4844784218860443,0.3805713653564453,0.030421510338783264,0.06684064865112305,True,concat,1e-05,0.17336590588092804
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,4,8,128,0.09309304505586624,0.9012866616249084,0.8932108283042908,0.4844784218860443,0.3805713653564453,0.030421510338783264,0.06684064865112305,True,concat,1e-05,0.17336590588092804
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,4,16,128,0.09527552127838135,0.9702650904655457,0.9702650904655457,0.9702648876573887,0.9999999403953552,0.01642914116382599,0.01642914116382599,True,concat,1e-05,0.016429148614406586
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,4,16,128,0.09309304505586624,0.9702650904655457,0.9682556390762329,0.7568697854500506,0.6954100728034973,0.016586340963840485,0.045902542769908905,True,concat,1e-05,0.17313995957374573
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,4,16,128,0.09309304505586624,0.9702650904655457,0.9682556390762329,0.7568697854500506,0.6954100728034973,0.016586340963840485,0.045902542769908905,True,concat,1e-05,0.17313995957374573
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,5,8,128,0.0637190043926239,0.8569940328598022,0.8569940328598022,0.8569947045686244,1.0000007152557373,0.024096062406897545,0.024096062406897545,True,concat,1e-05,0.024096060544252396
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,5,8,128,0.06179438903927803,0.8569940328598022,0.8404824733734131,0.5036112512346512,0.5586224794387817,0.024680467322468758,0.043537165969610214,True,concat,1e-05,0.09232544898986816
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,5,8,128,0.06179438903927803,0.8569940328598022,0.8404824733734131,0.5036112512346512,0.5586224794387817,0.024680467322468758,0.043537165969610214,True,concat,1e-05,0.09232544898986816
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,5,16,128,0.0637190043926239,0.9679495692253113,0.9679495692253113,0.9679504782968075,1.0000003576278687,0.011407368816435337,0.011407368816435337,True,concat,1e-05,0.011407369747757912
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,5,16,128,0.06179438903927803,0.9679495692253113,0.9622642993927002,0.8044476675658734,0.6982462406158447,0.012003989890217781,0.02732631005346775,True,concat,1e-05,0.09456194937229156
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,5,16,128,0.06179438903927803,0.9679495692253113,0.9622642993927002,0.8044476675658734,0.6982462406158447,0.012003989890217781,0.02732631005346775,True,concat,1e-05,0.09456194937229156
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,6,8,128,0.13925452530384064,0.7823614478111267,0.7823614478111267,0.7823616945659649,1.000000238418579,0.0649646669626236,0.0649646669626236,True,concat,1e-05,0.06496469676494598
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,6,8,128,0.13791345059871674,0.7823614478111267,0.7805034518241882,0.6743656479324625,0.6658304333686829,0.06461306661367416,0.07869945466518402,True,concat,1e-05,0.1457221955060959
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,6,8,128,0.13791345059871674,0.7823614478111267,0.7805034518241882,0.6743656479324625,0.6658304333686829,0.06461306661367416,0.07869945466518402,True,concat,1e-05,0.1457221955060959
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,6,16,128,0.13925452530384064,0.9545876979827881,0.9545876979827881,0.9545878514685164,0.9999998807907104,0.029675383120775223,0.029675383120775223,True,concat,1e-05,0.029675396159291267
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,6,16,128,0.13791345059871674,0.9545876979827881,0.9544697999954224,0.9257719650127163,0.8878369331359863,0.02942768484354019,0.03757428377866745,True,concat,1e-05,0.1500464677810669
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,6,16,128,0.13791345059871674,0.9545876979827881,0.9544697999954224,0.9257719650127163,0.8878369331359863,0.02942768484354019,0.03757428377866745,True,concat,1e-05,0.1500464677810669
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,7,8,128,0.2151038497686386,0.754855215549469,0.754855215549469,0.7548553915699636,1.000000238418579,0.10650239884853363,0.10650239884853363,True,concat,1e-05,0.10650240629911423
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,7,8,128,0.20263999700546265,0.754855215549469,0.74266117811203,0.5522192478347278,0.632648229598999,0.10279630869626999,0.13559944927692413,True,concat,1e-05,0.20113126933574677
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,7,8,128,0.20263999700546265,0.754855215549469,0.74266117811203,0.5522192478347278,0.632648229598999,0.10279630869626999,0.13559944927692413,True,concat,1e-05,0.20113126933574677
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,7,16,128,0.2151038497686386,0.9086301326751709,0.9086301326751709,0.9086304096262934,1.0000005960464478,0.0650203749537468,0.0650203749537468,True,concat,1e-05,0.06502038985490799
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,7,16,128,0.20263999700546265,0.9086301326751709,0.9004371166229248,0.7942928032672639,0.8005062341690063,0.06394013017416,0.09190735965967178,True,concat,1e-05,0.194761261343956
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,7,16,128,0.20263999700546265,0.9086301326751709,0.9004371166229248,0.7942928032672639,0.8005062341690063,0.06394013017416,0.09190735965967178,True,concat,1e-05,0.194761261343956
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,8,8,128,1.2022640705108643,0.9814808368682861,0.9814808368682861,0.9814810597452208,1.0,0.16360975801944733,0.16360975801944733,True,concat,1e-05,0.16360978782176971
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,8,8,128,1.1555426120758057,0.9814808368682861,0.9801722168922424,0.9696761604656571,0.6895308494567871,0.16271346807479858,0.20122364163398743,True,concat,1e-05,0.24312138557434082
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,8,8,128,1.1555426120758057,0.9814808368682861,0.9801722168922424,0.9696761604656571,0.6895308494567871,0.16271346807479858,0.20122364163398743,True,concat,1e-05,0.24312138557434082
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,8,16,128,1.2022640705108643,0.9932166337966919,0.9932166337966919,0.9932168871427044,1.0000001192092896,0.09901922941207886,0.09901922941207886,True,concat,1e-05,0.09901921451091766
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,8,16,128,1.1555426120758057,0.9932166337966919,0.9928700923919678,0.9812835414898592,0.6809507608413696,0.09757283329963684,0.15808801352977753,True,concat,1e-05,0.21446897089481354
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,8,16,128,1.1555426120758057,0.9932166337966919,0.9928700923919678,0.9812835414898592,0.6809507608413696,0.09757283329963684,0.15808801352977753,True,concat,1e-05,0.21446897089481354
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,9,8,128,0.8671969175338745,0.9404863119125366,0.9404863119125366,0.9404862872741642,0.9999997615814209,0.21155627071857452,0.21155627071857452,True,concat,1e-05,0.21155625581741333
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,9,8,128,0.8713449835777283,0.9404863119125366,0.9461032748222351,0.9157178355553719,0.7589750289916992,0.20228861272335052,0.2529633939266205,True,concat,1e-05,0.3103669583797455
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,9,8,128,0.8713449835777283,0.9404863119125366,0.9461032748222351,0.9157178355553719,0.7589750289916992,0.20228861272335052,0.2529633939266205,True,concat,1e-05,0.3103669583797455
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,9,16,128,0.8671969175338745,0.9792831540107727,0.9792831540107727,0.9792831453190095,0.9999996423721313,0.12481853365898132,0.12481853365898132,True,concat,1e-05,0.12481856346130371
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,9,16,128,0.8713449835777283,0.9792831540107727,0.9796556234359741,0.9540125468599464,0.7126564979553223,0.12428303807973862,0.18685689568519592,True,concat,1e-05,0.26517876982688904
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,9,16,128,0.8713449835777283,0.9792831540107727,0.9796556234359741,0.9540125468599464,0.7126564979553223,0.12428303807973862,0.18685689568519592,True,concat,1e-05,0.26517876982688904
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,10,8,128,0.7360947132110596,0.9677025675773621,0.9677025675773621,0.9677028783856012,1.0,0.1322874277830124,0.1322874277830124,True,concat,1e-05,0.1322874128818512
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,10,8,128,0.7355120778083801,0.9677025675773621,0.9695860743522644,0.9535089873030923,0.8004711866378784,0.1282704770565033,0.1585899442434311,True,concat,1e-05,0.2956550717353821
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,10,8,128,0.7355120778083801,0.9677025675773621,0.9695860743522644,0.9535089873030923,0.8004711866378784,0.1282704770565033,0.1585899442434311,True,concat,1e-05,0.2956550717353821
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,10,16,128,0.7360947132110596,0.9887672066688538,0.9887672066688538,0.9887677930651073,0.9999998211860657,0.07801462709903717,0.07801462709903717,True,concat,1e-05,0.07801462709903717
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,10,16,128,0.7355120778083801,0.9887672066688538,0.9895036220550537,0.9783793712031568,0.8054602742195129,0.07535479217767715,0.10815022140741348,True,concat,1e-05,0.2766067385673523
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,10,16,128,0.7355120778083801,0.9887672066688538,0.9895036220550537,0.9783793712031568,0.8054602742195129,0.07535479217767715,0.10815022140741348,True,concat,1e-05,0.2766067385673523
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,11,8,128,0.07630183547735214,0.7893615961074829,0.7893615961074829,0.7893615956860012,1.0000003576278687,0.03501898795366287,0.03501898795366287,True,concat,1e-05,0.035019002854824066
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,11,8,128,0.08071684092283249,0.7893615961074829,0.8074560761451721,0.5265582456313292,0.513262927532196,0.03541840985417366,0.05553891509771347,True,concat,1e-05,0.13700377941131592
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,11,8,128,0.08071684092283249,0.7893615961074829,0.8074560761451721,0.5265582456313292,0.513262927532196,0.03541840985417366,0.05553891509771347,True,concat,1e-05,0.13700377941131592
validation,s01_p01_seed20260740,0,0,uncond,s3_temporal_pm2,11,16,128,0.07630183547735214,0.9341713190078735,0.9341713190078735,0.9341712194894795,1.000000238418579,0.019576840102672577,0.019576840102672577,True,concat,1e-05,0.01957683637738228
test,s02_p00_seed20260741,0,0,uncond,s3_temporal_pm2,11,16,128,0.08071684092283249,0.9341713190078735,0.9362282156944275,0.7784161579120044,0.6655883193016052,0.020383493974804878,0.03799561783671379,True,concat,1e-05,0.14061951637268066
test,s03_p02_seed20260741,0,0,uncond,s3_temporal_pm2,11,16,128,0.08071684092283249,0.9341713190078735,0.9362282156944275,0.7784161579120044,0.6655883193016052,0.020383493974804878,0.03799561783671379,True,concat,1e-05,0.14061951637268066
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,0,8,128,0.7763293385505676,0.9344343543052673,0.9344343543052673,0.9344341086714113,1.0000001192092896,0.19878514111042023,0.19878514111042023,True,concat,1e-05,0.19878511130809784
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,0,8,128,0.772477388381958,0.9344343543052673,0.9368177056312561,0.9244608370190189,0.8714538216590881,0.19417046010494232,0.21230986714363098,True,concat,1e-05,0.24538390338420868
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,0,8,128,0.772477388381958,0.9344343543052673,0.9368177056312561,0.9244608370190189,0.8714538216590881,0.19417046010494232,0.21230986714363098,True,concat,1e-05,0.24538390338420868
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,0,16,128,0.7763293385505676,0.976596474647522,0.976596474647522,0.9765961616467946,1.0000001192092896,0.11876434087753296,0.11876434087753296,True,concat,1e-05,0.11876429617404938
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,0,16,128,0.772477388381958,0.976596474647522,0.9771528244018555,0.9605190833798283,0.7875922918319702,0.11676184833049774,0.15348879992961884,True,concat,1e-05,0.2035444974899292
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,0,16,128,0.772477388381958,0.976596474647522,0.9771528244018555,0.9605190833798283,0.7875922918319702,0.11676184833049774,0.15348879992961884,True,concat,1e-05,0.2035444974899292
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,1,8,128,0.26484984159469604,0.7726725935935974,0.7726725935935974,0.7726724426979668,1.0,0.12627744674682617,0.12627744674682617,True,concat,1e-05,0.12627743184566498
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,1,8,128,0.26100772619247437,0.7726725935935974,0.7756064534187317,0.695101084860951,0.8053894639015198,0.12363988161087036,0.14412237703800201,True,concat,1e-05,0.38746094703674316
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,1,8,128,0.26100772619247437,0.7726725935935974,0.7756064534187317,0.695101084860951,0.8053894639015198,0.12363988161087036,0.14412237703800201,True,concat,1e-05,0.38746094703674316
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,1,16,128,0.26484984159469604,0.932511568069458,0.932511568069458,0.9325113349935831,0.9999997615814209,0.06880417466163635,0.06880417466163635,True,concat,1e-05,0.06880417466163635
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,1,16,128,0.26100772619247437,0.932511568069458,0.9251797199249268,0.879056319987927,0.8327357769012451,0.07139422744512558,0.09077060222625732,True,concat,1e-05,0.4093109965324402
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,1,16,128,0.26100772619247437,0.932511568069458,0.9251797199249268,0.879056319987927,0.8327357769012451,0.07139422744512558,0.09077060222625732,True,concat,1e-05,0.4093109965324402
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,2,8,128,0.46778348088264465,0.9567055106163025,0.9567055106163025,0.956705695344029,0.9999997019767761,0.09733309596776962,0.09733309596776962,True,concat,1e-05,0.09733308851718903
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,2,8,128,0.47618335485458374,0.9567055106163025,0.9615932703018188,0.9360565356103195,0.6914021372795105,0.09332077205181122,0.1204129010438919,True,concat,1e-05,0.13431718945503235
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,2,8,128,0.47618335485458374,0.9567055106163025,0.9615932703018188,0.9360565356103195,0.6914021372795105,0.09332077205181122,0.1204129010438919,True,concat,1e-05,0.13431718945503235
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,2,16,128,0.46778348088264465,0.9871116280555725,0.9871116280555725,0.9871116453978357,0.9999996423721313,0.053105924278497696,0.053105924278497696,True,concat,1e-05,0.0531059131026268
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,2,16,128,0.47618335485458374,0.9871116280555725,0.9878450036048889,0.9665751238842536,0.7301653027534485,0.05249929055571556,0.08705827593803406,True,concat,1e-05,0.11010979861021042
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,2,16,128,0.47618335485458374,0.9871116280555725,0.9878450036048889,0.9665751238842536,0.7301653027534485,0.05249929055571556,0.08705827593803406,True,concat,1e-05,0.11010979861021042
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,3,8,128,0.8101066946983337,0.9836294651031494,0.9836294651031494,0.9836292966055515,0.9999995827674866,0.10365042090415955,0.10365042090415955,True,concat,1e-05,0.10365040600299835
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,3,8,128,0.801647961139679,0.9836294651031494,0.9842822551727295,0.971312781396878,0.6326887011528015,0.10050339251756668,0.1357765644788742,True,concat,1e-05,0.16200552880764008
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,3,8,128,0.801647961139679,0.9836294651031494,0.9842822551727295,0.971312781396878,0.6326887011528015,0.10050339251756668,0.1357765644788742,True,concat,1e-05,0.16200552880764008
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,3,16,128,0.8101066946983337,0.995037853717804,0.995037853717804,0.9950376454817319,0.9999998807907104,0.05706518143415451,0.05706518143415451,True,concat,1e-05,0.057065192610025406
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,3,16,128,0.801647961139679,0.995037853717804,0.994672417640686,0.9842111992706339,0.696402907371521,0.058512456715106964,0.10072871297597885,True,concat,1e-05,0.13632969558238983
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,3,16,128,0.801647961139679,0.995037853717804,0.994672417640686,0.9842111992706339,0.696402907371521,0.058512456715106964,0.10072871297597885,True,concat,1e-05,0.13632969558238983
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,4,8,128,0.2243557721376419,0.7020962834358215,0.7020962834358215,0.7020964746121716,1.000000238418579,0.12245465815067291,0.12245465815067291,True,concat,1e-05,0.12245465815067291
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,4,8,128,0.2291724979877472,0.7020962834358215,0.7247373461723328,0.5693335298038992,0.6870183348655701,0.12023645639419556,0.15039491653442383,True,concat,1e-05,0.36106589436531067
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,4,8,128,0.2291724979877472,0.7020962834358215,0.7247373461723328,0.5693335298038992,0.6870183348655701,0.12023645639419556,0.15039491653442383,True,concat,1e-05,0.36106589436531067
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,4,16,128,0.2243557721376419,0.8959729075431824,0.8959729075431824,0.8959732161206317,0.9999999403953552,0.07236199080944061,0.07236199080944061,True,concat,1e-05,0.07236198335886002
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,4,16,128,0.2291724979877472,0.8959729075431824,0.9019683599472046,0.7874379102994974,0.7285984754562378,0.07175391912460327,0.10565879195928574,True,concat,1e-05,0.3910745084285736
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,4,16,128,0.2291724979877472,0.8959729075431824,0.9019683599472046,0.7874379102994974,0.7285984754562378,0.07175391912460327,0.10565879195928574,True,concat,1e-05,0.3910745084285736
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,5,8,128,0.17776329815387726,0.7465116381645203,0.7465116381645203,0.7465122574481632,1.000001311302185,0.08949963748455048,0.08949963748455048,True,concat,1e-05,0.08949964493513107
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,5,8,128,0.17648795247077942,0.7465116381645203,0.7501527667045593,0.6274524148613982,0.753032386302948,0.08821702003479004,0.1077224463224411,True,concat,1e-05,0.2553052306175232
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,5,8,128,0.17648795247077942,0.7465116381645203,0.7501527667045593,0.6274524148613982,0.753032386302948,0.08821702003479004,0.1077224463224411,True,concat,1e-05,0.2553052306175232
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,5,16,128,0.17776329815387726,0.923175573348999,0.923175573348999,0.9231763096356633,1.0000005960464478,0.04927104339003563,0.04927104339003563,True,concat,1e-05,0.04927106946706772
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,5,16,128,0.17648795247077942,0.923175573348999,0.923069179058075,0.8642780555017306,0.8181737661361694,0.04895145073533058,0.06501910090446472,True,concat,1e-05,0.2747856378555298
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,5,16,128,0.17648795247077942,0.923175573348999,0.923069179058075,0.8642780555017306,0.8181737661361694,0.04895145073533058,0.06501910090446472,True,concat,1e-05,0.2747856378555298
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,6,8,128,0.22822672128677368,0.7652589678764343,0.7652589678764343,0.7652590105472594,0.9999997615814209,0.11057600378990173,0.11057600378990173,True,concat,1e-05,0.11057599633932114
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,6,8,128,0.22154463827610016,0.7652589678764343,0.7659459710121155,0.6660964727626841,0.7363395094871521,0.10718140006065369,0.12801815569400787,True,concat,1e-05,0.2051541954278946
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,6,8,128,0.22154463827610016,0.7652589678764343,0.7659459710121155,0.6660964727626841,0.7363395094871521,0.10718140006065369,0.12801815569400787,True,concat,1e-05,0.2051541954278946
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,6,16,128,0.22822672128677368,0.9508705139160156,0.9508705139160156,0.9508706155691801,1.0,0.05058678239583969,0.05058678239583969,True,concat,1e-05,0.050586774945259094
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,6,16,128,0.22154463827610016,0.9508705139160156,0.9492995738983154,0.9240208694774379,0.9122339487075806,0.04988472908735275,0.06106729805469513,True,concat,1e-05,0.2020227462053299
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,6,16,128,0.22154463827610016,0.9508705139160156,0.9492995738983154,0.9240208694774379,0.9122339487075806,0.04988472908735275,0.06106729805469513,True,concat,1e-05,0.2020227462053299
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,7,8,128,0.5439131259918213,0.6725828647613525,0.6725828647613525,0.6725834214280381,1.0000004768371582,0.31122907996177673,0.31122907996177673,True,concat,1e-05,0.31122907996177673
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,7,8,128,0.5217853784561157,0.6725828647613525,0.6697477102279663,0.5589448117898973,0.6677471399307251,0.29985737800598145,0.3465281128883362,True,concat,1e-05,0.5485888719558716
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,7,8,128,0.5217853784561157,0.6725828647613525,0.6697477102279663,0.5589448117898973,0.6677471399307251,0.29985737800598145,0.3465281128883362,True,concat,1e-05,0.5485888719558716
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,7,16,128,0.5439131259918213,0.8782621622085571,0.8782621622085571,0.8782627555799083,1.0000004768371582,0.18977636098861694,0.18977636098861694,True,concat,1e-05,0.18977642059326172
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,7,16,128,0.5217853784561157,0.8782621622085571,0.8741938471794128,0.8041641964638391,0.8457363843917847,0.1850729137659073,0.2309075891971588,True,concat,1e-05,0.5556820631027222
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,7,16,128,0.5217853784561157,0.8782621622085571,0.8741938471794128,0.8041641964638391,0.8457363843917847,0.1850729137659073,0.2309075891971588,True,concat,1e-05,0.5556820631027222
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,8,8,128,1.4967589378356934,0.9850965738296509,0.9850965738296509,0.9850972791522968,1.000000238418579,0.18272241950035095,0.18272241950035095,True,concat,1e-05,0.18272241950035095
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,8,8,128,1.4762364625930786,0.9850965738296509,0.9871361255645752,0.9781532627700936,0.6331093311309814,0.1674334555864334,0.21819987893104553,True,concat,1e-05,0.2547462582588196
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,8,8,128,1.4762364625930786,0.9850965738296509,0.9871361255645752,0.9781532627700936,0.6331093311309814,0.1674334555864334,0.21819987893104553,True,concat,1e-05,0.2547462582588196
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,8,16,128,1.4967589378356934,0.9948229193687439,0.9948229193687439,0.9948237030835315,1.0,0.10769312083721161,0.10769312083721161,True,concat,1e-05,0.1076931357383728
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,8,16,128,1.4762364625930786,0.9948229193687439,0.9949162602424622,0.9869678778517641,0.6644972562789917,0.10525700449943542,0.16852840781211853,True,concat,1e-05,0.2225928157567978
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,8,16,128,1.4762364625930786,0.9948229193687439,0.9949162602424622,0.9869678778517641,0.6644972562789917,0.10525700449943542,0.16852840781211853,True,concat,1e-05,0.2225928157567978
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,9,8,128,1.01096773147583,0.9456986784934998,0.9456986784934998,0.9456978437770864,0.9999999403953552,0.2355821281671524,0.2355821281671524,True,concat,1e-05,0.2355821281671524
test,s02_p00_seed20260741,0,0,uncond,s3_tfull,9,8,128,1.0232353210449219,0.9456986784934998,0.9530797004699707,0.9229805926101332,0.711342453956604,0.22164423763751984,0.28397074341773987,True,concat,1e-05,0.3376993238925934
test,s03_p02_seed20260741,0,0,uncond,s3_tfull,9,8,128,1.0232353210449219,0.9456986784934998,0.9530797004699707,0.9229805926101332,0.711342453956604,0.22164423763751984,0.28397074341773987,True,concat,1e-05,0.3376993238925934
validation,s01_p01_seed20260740,0,0,uncond,s3_tfull,9,16,128,1.01096773147583,0.9807834029197693,0.9807834029197693,0.9807825818328246,0.9999998807907104,0.1401444971561432,0.1401444971561432,True,concat,1e-05,0.140144482254982
