category,layer,method,count,mean_error_mean,mean_error_std,stable_error_mean,stable_error_std,event_like_error_mean,event_like_error_std,mean_centered_error_mean,mean_centered_error_std,stable_centered_error_mean,stable_centered_error_std,event_like_centered_error_mean,event_like_centered_error_std
camera_motion,0,global_bccb_causal,2,0.5726652977171964,0.20478971910701985,0.496220608320868,0.15648469105505258,0.7266181327554926,0.21687666266107325,0.6116051469334272,0.204491840514324,0.5347973575874398,0.1581539306795128,0.7724179725360805,0.2086820648343321
camera_motion,0,global_bccb_pair,2,0.5208006281400519,0.2301134426426587,0.44767720542167544,0.2009749305988554,0.6511669661163708,0.23574474140192653,0.5543351397778111,0.23460548655738575,0.4799659205768173,0.20860945107997073,0.6895432697774634,0.23307238048010837
camera_motion,0,hidden_shift_cyclic,2,0.6159829697709387,0.294616728374877,0.48866892248258903,0.2375801593463039,0.849326106246318,0.3306236607170597,0.6554737099609962,0.30099820063940935,0.5236305203193203,0.24745859318859637,0.9011678108208083,0.3273198232252952
camera_motion,0,identity,2,0.6160654293138643,0.2945796589635075,0.48866892248258903,0.2375801593463039,0.8496353295322889,0.3304846504244237,0.6555652819869239,0.30095423316203007,0.5236305203193203,0.24745859318859637,0.9015112059180372,0.327154945185123
camera_motion,0,local_bccb_causal,2,0.5718953840305006,0.2094700722328651,0.4918097323166205,0.16218019237485695,0.7276110277418624,0.21841715265597123,0.6086986629709529,0.21008040903609596,0.5273063808149653,0.16674060893589462,0.7717543845428165,0.20867503412864452
camera_motion,0,local_bccb_pair,2,0.5308583938750709,0.23437280179412534,0.4523369682424152,0.20423855803728427,0.6731094895538944,0.23979287743348532,0.5635211648244072,0.23923443638170264,0.484787428057605,0.21192498606150423,0.7081024155614977,0.2386996037029188
camera_motion,0,local_bttb_causal,2,0.5719188358651737,0.209505992139699,0.491735706923287,0.16217998735434797,0.7277754071883002,0.21850087894554032,0.6083845617673665,0.21019682840672319,0.5267587598729264,0.1670979871515977,0.7716951049706158,0.20853810595859967
camera_motion,0,local_bttb_pair,2,0.5310211419455867,0.23423510161184827,0.45228840032913803,0.20418362581056454,0.6737790190001939,0.2393506528805943,0.5634373010242382,0.2390858635679163,0.4846735424528691,0.2118121104607397,0.7080920235975546,0.23844244881101254
camera_motion,0,optical_flow_warp,2,0.5834983623825819,0.24177631226205823,0.483110758116859,0.1991745547366537,0.7625243560018937,0.2600071889859595,0.6207522357787635,0.2459188978612217,0.5174846657044195,0.20662293056704295,0.8080661955125248,0.2559522539384374
camera_motion,0,pixel_shift_cyclic,2,0.6169245468048932,0.2937205414724787,0.48866892248258903,0.2375801593463039,0.8528570201236468,0.32726295983306575,0.656539238510413,0.299980276638541,0.5236305203193203,0.24745859318859637,0.9051635428811213,0.3235026082220389
camera_motion,0,pixel_shift_zero,2,0.6156691038740144,0.2949759844033575,0.48866892248258903,0.2375801593463039,0.8481491091328515,0.33197087082386106,0.6550734171307329,0.30144609801822114,0.5236305203193203,0.24745859318859637,0.8996667127073208,0.32899943839583945
camera_motion,15,global_bccb_causal,2,1.0356878792989086,0.15876765510340402,0.9949129432937931,0.09936598134663432,1.0687487769611688,0.24680259573901137,1.0655662613857606,0.16456896134769677,1.023699781799626,0.10315031279330555,1.0991835866094033,0.2554634839734886
camera_motion,15,global_bccb_pair,2,0.4956417137532067,0.06863072126784159,0.4685578068324345,0.034544326982692886,0.5318497168115287,0.11859903116549522,0.5091406846054731,0.07117340244554712,0.48177754405164563,0.0358815235212723,0.544891264336007,0.12304024000676286
camera_motion,15,hidden_shift_cyclic,2,0.7859215329105141,0.14499247593633524,0.7211828327172506,0.07874377882022532,0.8862860891198592,0.24106640869678664,0.8084095277031034,0.15005999174243612,0.7418886616953868,0.08166398130471719,0.9111886214590266,0.24921756534394263
camera_motion,15,identity,2,0.8322356363506035,0.1563983091242881,0.773218310162413,0.06650486812018891,0.9159616717913754,0.2683847542131892,0.856139686700915,0.16185890986299095,0.7954426991641961,0.06906618665628661,0.941925495126555,0.2775159499562376
camera_motion,15,local_bccb_causal,2,0.8380960491408729,0.12548804539368297,0.8194069165596946,0.05753255855136874,0.8786411114476391,0.24719770846649053,0.8602658564781629,0.12987250440179615,0.8411178255965825,0.06076619362904945,0.9016827849801734,0.2545043840410113
camera_motion,15,local_bccb_pair,2,0.6579423500354612,0.09331091727130447,0.611706056197197,0.035329728196864085,0.7070804085494796,0.16977941608105107,0.6748212165170138,0.0963598502063211,0.6283312288439311,0.03674511971340522,0.7223319904891378,0.17502871808347298
camera_motion,15,local_bttb_causal,2,0.8385923798789867,0.1258482768172668,0.8198607881599531,0.05795840660411394,0.8793276131143933,0.2478401661616253,0.8605635391415231,0.1301527203581786,0.8413985426975914,0.06118733134560672,0.9021586651917227,0.2549973852256512
camera_motion,15,local_bttb_pair,2,0.6576054851058237,0.09318922975141647,0.6110419888218591,0.035103180061539896,0.7071698894669604,0.16972840224337915,0.6742612412337827,0.09612376433039421,0.6275091263304865,0.03644883102033547,0.7220350091450267,0.17478478036777761
camera_motion,15,optical_flow_warp,2,0.7838853324014361,0.12064130181485327,0.7590697234325299,0.05589190172947661,0.8005561077348773,0.1993084669317829,0.8060624610154873,0.12500403655606784,0.7807744296596947,0.05814721391690003,0.8223763083115385,0.20630885814923117
camera_motion,15,pixel_shift_cyclic,2,0.8321597757922704,0.15647416968262118,0.773218310162413,0.06650486812018891,0.9156771946976265,0.2686692313069381,0.8560612132894561,0.16193738327445,0.7954426991641961,0.06906618665628661,0.9416312198335834,0.2778102252492091
camera_motion,15,pixel_shift_zero,2,0.8317005015131143,0.15693344396177727,0.773218310162413,0.06650486812018891,0.9139549161507909,0.27039150985377375,0.8555841030565483,0.1624144935073577,0.7954426991641961,0.06906618665628661,0.9398420564601797,0.2795993886226129
camera_motion,22,global_bccb_causal,2,0.7564679413309234,0.0948098323180106,0.7198697779851458,0.056010836436421574,0.8433041733604683,0.1435100037634156,0.8608786743323149,0.11280194303257918,0.8230052967468673,0.07071540539085913,0.9547870636919354,0.1672617856773192
camera_motion,22,global_bccb_pair,2,0.5585822092783614,0.07512558687485674,0.5233543287751898,0.05131758953722981,0.6184166920861265,0.10602112581960266,0.6353132442837719,0.08886355297254417,0.5985503943141259,0.06255462462396993,0.6979943367451724,0.12422871339617997
camera_motion,22,hidden_shift_cyclic,2,0.7207177829168357,0.12896438217492623,0.6520394522964361,0.09030961849597485,0.8508661201023874,0.17834800512094173,0.82080287565213,0.15102115728507137,0.7462937440290505,0.10828131914993144,0.9636321165468322,0.2070033258256035
camera_motion,22,identity,2,0.7237194174777022,0.13022703858553897,0.6520394522964361,0.09030961849597485,0.8621222497056367,0.18308296666073948,0.8242579507012313,0.15247737231243436,0.7462937440290505,0.10828131914993144,0.9765886479809622,0.21246413217821467
camera_motion,22,local_bccb_causal,2,0.6793595858990296,0.07710357371044457,0.6410590289258915,0.038415115570884006,0.7672004191027959,0.12189947177824356,0.7700595501937895,0.09216418835258117,0.7297851028730762,0.05221688014667675,0.8642826093633089,0.1385284274603335
